name,location,phone,image,facilities,doctors
Prime Hospital Rajshahi,Rajshahi,01713554411,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Orthopedic Trauma Care;ICU;Emergency Care;Diagnostic Center,Dr. Bhuiyan - Orthopedics (Mon-Thu 5PM);Dr. Sharmin - Pediatrics (Sat-Wed 10AM)
Fairdpur Medical Center Rajshahi,Rajshahi,01711002233,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Diagnostic Lab Services;Specialist Chamber;Emergency Care Room,Dr. Karim - Chest Specialist (Sat-Wed 5PM);Dr. Ara - Gynecologist (Sun-Tue 11AM)
Padma Clinic & Diagnostic,Rajshahi,01716335522,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Ultrasonography;Digital X-Ray;Emergency OPD;24/7 Pharmacy,Dr. Shaha - Medicine Specialist (Sun-Wed 6PM);Dr. Hossain - ENT Surgeon (Mon-Thu 4PM)
Ehsan Diagnostic & Hospital,Rajshahi,01712889911,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,Advanced Pathology Unit;Specialist Chamber Counter;Emergency Care,Dr. Khan - Diabetologist (Sat-Mon 5PM);Dr. Parveen - Obstetrician (Tue-Thu 10AM)
Varendra Hospital,Rajshahi,01713063344,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,Modern ICU;NICU Facility;Modular OT;Emergency Trauma Center,Dr. Rashid - Neurology Expert (Mon-Thu 4PM);Dr. Uddin - Cardiac Specialist (Sat-Wed 6PM)
Medinova Medical Services Rajshahi,Rajshahi,01711776655,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,Diagnostic Imaging Center;Hormone Assay Labs;Specialist Chambers,Dr. Islam - Endocrinologist (Sun-Tue 7PM);Dr. Begum - Skin Care (Mon-Wed 4PM)
Sylhet MAG Osmani Medical College Hospital,Sylhet,01711223344,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,Divisional Government Top Emergency;ICU;CCU;NICU;Burn Unit;Blood Bank,Dr. Talukder - Oncology (Sat-Wed 10AM);Dr. Das - Psychiatry (Sun-Tue 3PM);Dr. Roy - Medicine (Daily 9AM)
Jalalabad Ragib-Rabeya Medical College Hospital,Sylhet,01711554499,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Medical College ICU Wards;Emergency Unit;Modern Diagnostic Facility,Dr. Chowdhury - Cardiology (Sat-Mon 11AM);Dr. Begum - Gynecology (Sun-Wed 5PM)
North East Medical College Hospital,Sylhet,01713045522,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,Cardiology Cath Lab;ICU setup;NICU Center;24/7 Trauma Emergency,Dr. Ahmed - Interventional Cardiology (Mon-Thu 10AM);Dr. Yasmin - Pediatrics (Sat-Wed 4PM)
Sylhet Women's Medical College Hospital,Sylhet,01713244556,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Specialized Maternity ICU;Neonatal Care;24/7 Emergency;Ambulance,Dr. Jahan - Obstetrician (Daily 4PM-8PM);Dr. Akter - Pediatrician (Sun-Tue 10AM)
Ibn Sina Hospital Sylhet,Sylhet,01713366554,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,Modular Operating Theaters;ICU Setup;CT Scan Unit;Neurology Center,Dr. Mahmud - Neuro Medicine (Sat-Wed 6PM);Dr. Farhana - Dermatology (Mon-Thu 3PM)
Popular Medical Center Sylhet,Sylhet,01711667788,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,Advanced Pathology System;MRI 3T;Specialist Consultation Chambers,Dr. Guha - Endocrinologist (Sun-Tue 5PM);Dr. Naser - ENT Expert (Mon-Wed 6PM)
Oasis Hospital,Sylhet,01713488552,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,Premium Cabins Layout;ICU Setup;Dialysis Unit;Emergency Care,Dr. Sabrin - Gastromedicine (Mon-Thu 4PM);Dr. Uddin - Urology (Sat-Wed 11AM)
Al-Haramain Hospital,Sylhet,01931223344,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,Corporate Standard Emergency;ICU Unit;NICU Block;Modular OT Rooms,Dr. Prasad - General Surgery (Sat-Mon 10AM);Dr. Zaman - Internal Medicine (Sun-Wed 5PM)
Mount Adora Hospital,Sylhet,01713228811,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Neuro ICU Care;Orthopedic Trauma Center;Emergency Care;Lab Test,Dr. Minhaj - Orthopedics (Sun-Tue 4PM);Dr. Rehana - General Practice (Sat-Wed 10AM)
Sylhet Imperial Hospital,Sylhet,01819554422,https://images.unsplash.com/photo-1519494026892-80bbd2d6fd0d?q=80&w=600,International Standard Medical Wards;NICU Facility;Emergency Suite,Dr. Maruf - Cardiology Expert (Mon-Thu 5PM);Dr. Zerin - Pediatrics (Sat-Tue 11AM)
Trust Medical Assoication,Sylhet,01711445566,https://images.unsplash.com/photo-1587351021759-3e566b6af7cc?q=80&w=600,Diagnostic Lab Counters;Chamber Desk Module;ECG;X-Ray Facility,Dr. Karim - Chest Specialist (Daily 4PM-8PM);Dr. Fatima - Obstetrician (Sat-Tue 9AM)
Medinova Diagnostic Sylhet,Sylhet,01711993344,https://images.unsplash.com/photo-1629909613654-28e377c37b09?q=80&w=600,Hormone Analyzer Systems;Specialist Chamber Blocks;Pathology Units,Dr. Islam - Diabetes Expert (Sun-Wed 6PM);Dr. Begum - Skin Care (Mon-Thu 4PM)
Sylhet Eye Hospital,Sylhet,01711332211,https://images.unsplash.com/photo-1579684389782-64d84b5e901a?q=80&w=600,Advanced Cataract Surgery;LASIK Surgery Center;Eye OPD Clinic,Dr. Munir - Eye Surgeon (Sat-Tue 10AM);Dr. Farook - Glaucoma Expert (Sun-Wed 3PM)
Mardan Hospital Sylhet,Sylhet,01712445566,https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=600,General Medicine Ward;Emergency Clinic Room;Diagnostic Pharmacy,Dr. Ali - General Physician (Daily 9AM-1PM);Dr. Parveen - Pediatrician (Mon-Wed 5PM)
Noorjahan Hospital,Sylhet,01711887766,https://images.unsplash.com/photo-1632833239869-a37e31580662?q=80&w=600,Maternity Care Facility;NICU Unit;Emergency 24/7 Room;Ambulance,Dr. Jahan - Gynae Specialist (Sat-Wed 4PM);Dr. Ali - Pediatrics Resident (Sun-Tue 10AM)
Parkview Medical College Hospital,Sylhet,01713556677,https://images.unsplash.com/photo-1586773860418-d37222d8fce3?q=80&w=600,Medical College ICU Setup;Emergency Trauma Wing;Pathology Lab,Dr. Bhuiyan - Orthopedic Surgeon (Mon-Thu 5PM);Dr. Sharmin - Neonatology (Sat-Wed 11AM)
